0: 0
1: 1
2: 2
3: 3
4: 4
5: 5
6: 6
7: 7
8: 8
9: 9
130: ²
131: ³
137: ¹
1584: ٠
1585: ١
1586: ٢
1587: ٣
1588: ٤
1589: ٥
1590: ٦
1591: ٧
1592: ٨
1593: ٩
1728: ۰
1729: ۱
1730: ۲
1731: ۳
1732: ۴
1733: ۵
1734: ۶
1735: ۷
1736: ۸
1737: ۹
1936: ߀
1937: ߁
1938: ߂
1939: ߃
1940: ߄
1941: ߅
1942: ߆
1943: ߇
1944: ߈
1945: ߉
2358: ०
2359: १
2360: २
2361: ३
2362: ४
2363: ५
2364: ६
2365: ७
2366: ८
2367: ९
2486: ০
2487: ১
2488: ২
2489: ৩
2490: ৪
2491: ৫
2492: ৬
2493: ৭
2494: ৮
2495: ৯
2614: ੦
2615: ੧
2616: ੨
2617: ੩
2618: ੪
2619: ੫
2620: ੬
2621: ੭
2622: ੮
2623: ੯
2742: ૦
2743: ૧
2744: ૨
2745: ૩
2746: ૪
2747: ૫
2748: ૬
2749: ૭
2750: ૮
2751: ૯
2870: ୦
2871: ୧
2872: ୨
2873: ୩
2874: ୪
2875: ୫
2876: ୬
2877: ୭
2878: ୮
2879: ୯
2998: ௦
2999: ௧
3000: ௨
3001: ௩
3002: ௪
3003: ௫
3004: ௬
3005: ௭
3006: ௮
3007: ௯
3126: ౦
3127: ౧
3128: ౨
3129: ౩
3130: ౪
3131: ౫
3132: ౬
3133: ౭
3134: ౮
3135: ౯
3254: ೦
3255: ೧
3256: ೨
3257: ೩
3258: ೪
3259: ೫
3260: ೬
3261: ೭
3262: ೮
3263: ೯
3382: ൦
3383: ൧
3384: ൨
3385: ൩
3386: ൪
3387: ൫
3388: ൬
3389: ൭
3390: ൮
3391: ൯
3510: ෦
3511: ෧
3512: ෨
3513: ෩
3514: ෪
3515: ෫
3516: ෬
3517: ෭
3518: ෮
3519: ෯
3616: ๐
3617: ๑
3618: ๒
3619: ๓
3620: ๔
3621: ๕
3622: ๖
3623: ๗
3624: ๘
3625: ๙
3744: ໐
3745: ໑
3746: ໒
3747: ໓
3748: ໔
3749: ໕
3750: ໖
3751: ໗
3752: ໘
3753: ໙
3824: ༠
3825: ༡
3826: ༢
3827: ༣
3828: ༤
3829: ༥
3830: ༦
3831: ༧
3832: ༨
3833: ༩
4112: ၀
4113: ၁
4114: ၂
4115: ၃
4116: ၄
4117: ၅
4118: ၆
4119: ၇
4120: ၈
4121: ၉
4192: ႐
4193: ႑
4194: ႒
4195: ႓
4196: ႔
4197: ႕
4198: ႖
4199: ႗
4200: ႘
4201: ႙
4921: ፩
4922: ፪
4923: ፫
4924: ፬
4925: ፭
4926: ፮
4927: ፯
4928: ፰
4929: ፱
6064: ០
6065: ១
6066: ២
6067: ៣
6068: ៤
6069: ៥
6070: ៦
6071: ៧
6072: ៨
6073: ៩
6112: ᠐
6113: ᠑
6114: ᠒
6115: ᠓
6116: ᠔
6117: ᠕
6118: ᠖
6119: ᠗
6120: ᠘
6121: ᠙
6422: ᥆
6423: ᥇
6424: ᥈
6425: ᥉
6426: ᥊
6427: ᥋
6428: ᥌
6429: ᥍
6430: ᥎
6431: ᥏
6560: ᧐
6561: ᧑
6562: ᧒
6563: ᧓
6564: ᧔
6565: ᧕
6566: ᧖
6567: ᧗
6568: ᧘
6569: ᧙
6570: ᧚
6736: ᪀
6737: ᪁
6738: ᪂
6739: ᪃
6740: ᪄
6741: ᪅
6742: ᪆
6743: ᪇
6744: ᪈
6745: ᪉
6752: ᪐
6753: ᪑
6754: ᪒
6755: ᪓
6756: ᪔
6757: ᪕
6758: ᪖
6759: ᪗
6760: ᪘
6761: ᪙
6944: ᭐
6945: ᭑
6946: ᭒
6947: ᭓
6948: ᭔
6949: ᭕
6950: ᭖
6951: ᭗
6952: ᭘
6953: ᭙
7040: ᮰
7041: ᮱
7042: ᮲
7043: ᮳
7044: ᮴
7045: ᮵
7046: ᮶
7047: ᮷
7048: ᮸
7049: ᮹
7184: ᱀
7185: ᱁
7186: ᱂
7187: ᱃
7188: ᱄
7189: ᱅
7190: ᱆
7191: ᱇
7192: ᱈
7193: ᱉
7200: ᱐
7201: ᱑
7202: ᱒
7203: ᱓
7204: ᱔
7205: ᱕
7206: ᱖
7207: ᱗
7208: ᱘
7209: ᱙
8256: ⁰
8260: ⁴
8261: ⁵
8262: ⁶
8263: ⁷
8264: ⁸
8265: ⁹
8272: ₀
8273: ₁
8274: ₂
8275: ₃
8276: ₄
